iter	Passed	Remaining
0	0	93
1	1	78
2	2	71
3	2	65
4	3	63
5	3	61
6	4	60
7	5	59
8	5	58
9	6	56
10	6	56
11	7	55
12	8	54
13	8	53
14	9	53
15	9	52
16	10	51
17	11	50
18	11	49
19	12	49
20	12	48
21	13	47
22	14	47
23	14	47
24	15	47
25	16	46
26	17	46
27	17	45
28	18	45
29	19	44
30	19	44
31	20	43
32	21	42
33	21	42
34	22	41
35	23	41
36	23	40
37	24	39
38	25	39
39	25	38
40	26	38
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	30	33
47	30	33
48	31	32
49	32	32
50	32	31
51	33	31
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	23
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	67	0
